"","season","In The Paint (Non-RA)","Mid-Range","Restricted Area","Three-pointers","total"
"1","2010-11",27501,55532,57131,38614,178778
"2","2011-12",21924,44199,47847,32744,146714
"3","2012-13",26357,51477,59884,44001,181719
"4","2013-14",28081,50758,61032,48829,188700
"5","2014-15",27474,49125,60092,49804,186495
"6","2015-16",27728,46497,62582,53458,190265
"7","2016-17",27263,42295,61379,59626,190563
"8","2017-18",29753,36098,60531,63451,189833
"9","2018-19",31933,30331,66512,71861,200637
"10","2019-20",27499,22795,55777,65162,171233
"11","2020-21",27836,20151,47289,61198,156474
